Date,Headline,Summary,Link,Ticker,RetrievalScore,Sentiment
,"Govt calls on Bharat Forge, Mahindra to expand production of key defence equipment: Report","Private vendors have been directed to enhance supplies of anti-drone and smart ammunition, as well as armoured vehicles capable of integrating loitering munitions and guided missiles.",https://www.moneycontrol.com/news/business/govt-calls-on-bharat-forge-mahindra-to-expand-production-of-key-defence-equipment-report-13019928.html,MSFT,0.459,positive
,"Govt calls on Bharat Forge, Mahindra to expand production of key defence equipment: Report","Private vendors have been directed to enhance supplies of anti-drone and smart ammunition, as well as armoured vehicles capable of integrating loitering munitions and guided missiles.",https://www.moneycontrol.com/news/business/govt-calls-on-bharat-forge-mahindra-to-expand-production-of-key-defence-equipment-report-13019928.html,AAPL,0.447,positive
,"Govt calls on Bharat Forge, Mahindra to expand production of key defence equipment: Report","Private vendors have been directed to enhance supplies of anti-drone and smart ammunition, as well as armoured vehicles capable of integrating loitering munitions and guided missiles.",https://www.moneycontrol.com/news/business/govt-calls-on-bharat-forge-mahindra-to-expand-production-of-key-defence-equipment-report-13019928.html,GOOG,0.42,positive
,"CBI arrests Commissioner IT, Shapoorji Pallonji group executive in Rs 70 lakh bribery case","Lavidiya, a 2004-batch Indian Revenue Service officer, was arrested along with Viral Kantilal Mehta, Deputy General Manager (Taxation) of Shapoorji Pallonji Group; Sairam Palisetty; Natta Veera Naga Sri Ram Gopal; and Sajida Majhar Hussain Shah, they said.",https://www.moneycontrol.com/news/business/cbi-arrests-commissioner-it-shapoorji-pallonji-group-executive-in-rs-70-lakh-bribery-case-13019914.html,GOOG,0.4,negative
,"CBI arrests Commissioner IT, Shapoorji Pallonji group executive in Rs 70 lakh bribery case","Lavidiya, a 2004-batch Indian Revenue Service officer, was arrested along with Viral Kantilal Mehta, Deputy General Manager (Taxation) of Shapoorji Pallonji Group; Sairam Palisetty; Natta Veera Naga Sri Ram Gopal; and Sajida Majhar Hussain Shah, they said.",https://www.moneycontrol.com/news/business/cbi-arrests-commissioner-it-shapoorji-pallonji-group-executive-in-rs-70-lakh-bribery-case-13019914.html,MSFT,0.351,negative
,"CBI arrests Commissioner IT, Shapoorji Pallonji group executive in Rs 70 lakh bribery case","Lavidiya, a 2004-batch Indian Revenue Service officer, was arrested along with Viral Kantilal Mehta, Deputy General Manager (Taxation) of Shapoorji Pallonji Group; Sairam Palisetty; Natta Veera Naga Sri Ram Gopal; and Sajida Majhar Hussain Shah, they said.",https://www.moneycontrol.com/news/business/cbi-arrests-commissioner-it-shapoorji-pallonji-group-executive-in-rs-70-lakh-bribery-case-13019914.html,AAPL,0.318,negative
,Bombay HC stays Bhool Chuk Maaf's Prime Video premier as PVR Inox takes Maddock to court,"While the film was supposed to release on May 9, Maddock Films in a tweet on May 8 said that it will take the direct to  streaming route due to the rising tensions between India and Pakistan.",https://www.moneycontrol.com/entertainment/bombay-hc-stays-bhool-chuk-maaf-s-prime-video-premier-as-pvr-inox-takes-maddock-to-court-article-13019879.html,GOOG,0.394,negative
,Bombay HC stays Bhool Chuk Maaf's Prime Video premier as PVR Inox takes Maddock to court,"While the film was supposed to release on May 9, Maddock Films in a tweet on May 8 said that it will take the direct to  streaming route due to the rising tensions between India and Pakistan.",https://www.moneycontrol.com/entertainment/bombay-hc-stays-bhool-chuk-maaf-s-prime-video-premier-as-pvr-inox-takes-maddock-to-court-article-13019879.html,AAPL,0.356,negative
,Bombay HC stays Bhool Chuk Maaf's Prime Video premier as PVR Inox takes Maddock to court,"While the film was supposed to release on May 9, Maddock Films in a tweet on May 8 said that it will take the direct to  streaming route due to the rising tensions between India and Pakistan.",https://www.moneycontrol.com/entertainment/bombay-hc-stays-bhool-chuk-maaf-s-prime-video-premier-as-pvr-inox-takes-maddock-to-court-article-13019879.html,MSFT,0.319,negative
,How To Use ChatGPT To Create a Loan Prepayment Plan: A Step-By-Step Guide,Become debt-free faster and save big on interest by planning your loan prepayment. Here's how ChatGPT can help you make a customized plan for yourself.,https://www.moneycontrol.com/news/business/personal-finance/how-to-use-chatgpt-to-create-a-loan-prepayment-plan-a-step-by-step-guide-13019521.html,GOOG,0.405,neutral
,How To Use ChatGPT To Create a Loan Prepayment Plan: A Step-By-Step Guide,Become debt-free faster and save big on interest by planning your loan prepayment. Here's how ChatGPT can help you make a customized plan for yourself.,https://www.moneycontrol.com/news/business/personal-finance/how-to-use-chatgpt-to-create-a-loan-prepayment-plan-a-step-by-step-guide-13019521.html,AAPL,0.391,neutral
,How To Use ChatGPT To Create a Loan Prepayment Plan: A Step-By-Step Guide,Become debt-free faster and save big on interest by planning your loan prepayment. Here's how ChatGPT can help you make a customized plan for yourself.,https://www.moneycontrol.com/news/business/personal-finance/how-to-use-chatgpt-to-create-a-loan-prepayment-plan-a-step-by-step-guide-13019521.html,MSFT,0.37,neutral
,Delhi airport cancels 60 domestic flights due to Pak escalation after Operation Sindoor: Sources,"For now, flight restrictions across north and west India will remain in place till May 15. According to estimates,  around 650 domestic flights were cancelled as a precautionary measure on May 10.",https://www.moneycontrol.com/news/business/60-domestic-flights-cancelled-at-delhi-airport-due-to-pak-escalation-after-operation-sindoor-13019825.html,MSFT,0.336,negative
,Delhi airport cancels 60 domestic flights due to Pak escalation after Operation Sindoor: Sources,"For now, flight restrictions across north and west India will remain in place till May 15. According to estimates,  around 650 domestic flights were cancelled as a precautionary measure on May 10.",https://www.moneycontrol.com/news/business/60-domestic-flights-cancelled-at-delhi-airport-due-to-pak-escalation-after-operation-sindoor-13019825.html,GOOG,0.327,negative
,Delhi airport cancels 60 domestic flights due to Pak escalation after Operation Sindoor: Sources,"For now, flight restrictions across north and west India will remain in place till May 15. According to estimates,  around 650 domestic flights were cancelled as a precautionary measure on May 10.",https://www.moneycontrol.com/news/business/60-domestic-flights-cancelled-at-delhi-airport-due-to-pak-escalation-after-operation-sindoor-13019825.html,AAPL,0.267,negative
,"Ixigo suspends flight and hotel bookings for Turkey, Azerbaijan, and China","Ixigo in a post on X issued a statement saying, ""In solidarity with our nation, we have suspended flight and hotel bookings for Turkey, Azerbaijan, and China.""",https://www.moneycontrol.com/news/business/ixigo-suspends-flight-and-hotel-bookings-for-turkey-azerbaijan-and-china-13019828.html,GOOG,0.468,negative
,"Ixigo suspends flight and hotel bookings for Turkey, Azerbaijan, and China","Ixigo in a post on X issued a statement saying, ""In solidarity with our nation, we have suspended flight and hotel bookings for Turkey, Azerbaijan, and China.""",https://www.moneycontrol.com/news/business/ixigo-suspends-flight-and-hotel-bookings-for-turkey-azerbaijan-and-china-13019828.html,MSFT,0.461,negative
,"Ixigo suspends flight and hotel bookings for Turkey, Azerbaijan, and China","Ixigo in a post on X issued a statement saying, ""In solidarity with our nation, we have suspended flight and hotel bookings for Turkey, Azerbaijan, and China.""",https://www.moneycontrol.com/news/business/ixigo-suspends-flight-and-hotel-bookings-for-turkey-azerbaijan-and-china-13019828.html,AAPL,0.412,negative
,Swiggy recovers some lost ground in food delivery from Zomato in Q4FY25,"Swiggy's food delivery business saw its adjusted EBITDA margins go up to 2.9 percent in Q4FY25, from 0.5 percent in Q4FY24.",https://www.moneycontrol.com/news/business/startup/swiggy-recovers-some-lost-ground-in-food-delivery-from-zomato-in-q4fy25-13019804.html,GOOG,0.436,positive
,Swiggy recovers some lost ground in food delivery from Zomato in Q4FY25,"Swiggy's food delivery business saw its adjusted EBITDA margins go up to 2.9 percent in Q4FY25, from 0.5 percent in Q4FY24.",https://www.moneycontrol.com/news/business/startup/swiggy-recovers-some-lost-ground-in-food-delivery-from-zomato-in-q4fy25-13019804.html,MSFT,0.39,positive
,Swiggy recovers some lost ground in food delivery from Zomato in Q4FY25,"Swiggy's food delivery business saw its adjusted EBITDA margins go up to 2.9 percent in Q4FY25, from 0.5 percent in Q4FY24.",https://www.moneycontrol.com/news/business/startup/swiggy-recovers-some-lost-ground-in-food-delivery-from-zomato-in-q4fy25-13019804.html,AAPL,0.366,positive
,Bomb blast threat to Indore's Holkar Stadium mentions 'Operation Sindoor'; turns out hoax,"MPCA's (Madhya Pradesh Cricket Association) official email (ID) on Friday received a threatening message. The email, written in English, mentions that the stadium will be blasted due to 'Operation Sindoor' (of Indian armed forces),"" Tukoganj police station in-charge Jitendra Singh Yadav told PTI",https://www.moneycontrol.com/news/business/bomb-blast-threat-to-indore-s-holkar-stadium-mentions-operation-sindoor-turns-out-hoax-13019795.html,GOOG,0.4,negative
